"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_car",0,NA,NA,NA,NA
"asc_bus",2.13727656742599,1.77193539971282,1.2061819904791,1.6855544232325,1.26799617856729
"asc_air",1.59697343712181,1.29877941817144,1.22959558396005,1.30544753249063,1.22331491490507
"asc_rail",2.54290174416986,1.56071118492096,1.62932243245161,1.57081819834074,1.61883898904147
"b_tt_car",-0.00252381527973967,0.00193865728138817,-1.30183674235216,0.00196392804102097,-1.28508541403973
"b_tt_bus",-0.010334615054041,0.00318640902042533,-3.24334226641798,0.00304888625633226,-3.38963614420739
"b_tt_air",-0.0158065446886832,0.0065155600797698,-2.42596868038421,0.00653981124843303,-2.41697261407514
"b_tt_rail",-0.015038737929093,0.00503529518274125,-2.98666461117097,0.00517128211778699,-2.90812560339073
"b_cost_car",-0.0193904938378375,0.0138253890412225,-1.40252789849325,0.0137206973435102,-1.41322947022143
"b_cost_bus",-0.0449403641996673,0.017219152366873,-2.609905716737,0.0180005728227815,-2.49660744922466
"b_cost_air",-0.031744287239383,0.00448034990437452,-7.08522501967726,0.00440037716659215,-7.21399235510696
"b_cost_rail",-0.0378829154087354,0.00613080220293923,-6.17911231756483,0.00610818757339377,-6.20198953511955
"b_income",-1.86564357192934e-06,4.40301635424008e-06,-0.423719428189889,4.55067471210216e-06,-0.409970760372699
