"asc_bus","asc_air","asc_rail","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_cost_car","b_cost_bus","b_cost_air","b_cost_rail","b_income","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,-1170.8600760604
-0.158901361057799,-0.00168887802257721,0.0399037325959953,0.000205916969098338,-0.00044345316434431,-6.44627238744307e-05,0.000263515040318765,0.00145515191990953,-0.00636157613813525,-0.000475463176439523,0.000300396970669888,-1.28846671052773e-06,-1101.6231266766
-0.333898792664654,0.0441064781514434,0.0884858412910631,0.000208794027591939,-0.00116723950118314,-0.000213182423477669,0.000348669158285575,1.26608706747589e-05,-0.0156774097562087,-0.00495974218317181,-0.00369769235081736,-1.82712150681331e-06,-1071.74455017911
-0.563703800265058,0.414870793260487,0.284241295239777,-0.00160306917512784,-0.00348236174169945,-0.0061053898984765,-0.00317528047631429,-0.0171742944781707,-0.0247319181144705,-0.0217471397033758,-0.0223944691702006,-1.44178415956229e-07,-1037.21489212287
0.144855680406658,0.662284504773233,0.977187106510979,-0.00335749603034047,-0.00751221204172201,-0.0139236301165986,-0.0103613545487462,-0.0287916382393595,-0.034651931125206,-0.0304509192363089,-0.0342346543073431,-7.2280631936793e-07,-1027.39939315281
1.85031984239147,1.35346396704872,2.2675702935248,-0.00280121018977365,-0.0101813773734101,-0.0154372638543041,-0.0145808846209382,-0.0217408687082765,-0.043741511816719,-0.0314532305634245,-0.0375647173082255,-1.60713327452164e-06,-1026.27594511948
2.12228700349261,1.588980958043,2.53708588856303,-0.00253868069776587,-0.0103222950983932,-0.0158205908358492,-0.0150614057465792,-0.0194809528473865,-0.044892352417434,-0.0317413919607691,-0.037885185485882,-1.8381510018121e-06,-1026.24684536187
2.13825899052277,1.59676578468919,2.54364698572003,-0.00252338644907077,-0.0103365147564353,-0.0158034233431174,-0.0150413919897084,-0.0193860838363388,-0.0449443828304894,-0.0317408552055094,-0.0378849120721828,-1.8639271875784e-06,-1026.24673475801
2.13732698786128,1.59701032309297,2.54292514727494,-0.00252376850328009,-0.0103346677027893,-0.0158065795319586,-0.0150386949241927,-0.0193901692727624,-0.0449405257623352,-0.031744375772102,-0.0378829948896562,-1.86553824279126e-06,-1026.24673374339
2.13727656742599,1.59697343712181,2.54290174416986,-0.00252381527973967,-0.010334615054041,-0.0158065446886832,-0.015038737929093,-0.0193904938378375,-0.0449403641996673,-0.031744287239383,-0.0378829154087354,-1.86564357192934e-06,-1026.24673374022
